DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,hour,day,month,year,lag_1_hour,rolling_24_hour_mean
37097.56,38085.62,,0.0,,,20677.68,,,4225.03,,,16452.65,,7852.73,7742.66,0.0,5189.219999999999,816.57,4372.65,37358.56,38384.62,0.0,20677.68,4225.03,16452.65,13748.03,14646.9,0.0,3990.0,11162.15,11405.06,0.0,10909.46,3408.46,7501.0,4334.65,4291.0,0.0,589.0,23,23,5,2020,38655.91,44486.121979166666
63833.71,62312.95,49222.0,22899.12,0.4652,49268.0,13603.079999999998,0.2761,5183.0,2038.37,0.3933,44086.0,11564.71,0.2623,11426.5,11164.7,6836.0,1266.9399999999998,8.33,1258.61,64359.64,62821.95,22899.12,13603.079999999998,2038.37,11564.71,25338.9,25130.65,4807.99,3433.0,19189.62,18055.9,8563.13,8513.26,2030.04,6483.22,7878.69,7961.7,2692.0,389.88,13,25,4,2019,64484.85,57995.27479166666
53853.39,53840.65,43465.0,2693.94,0.062,44973.0,3289.1099999999997,0.0731,3483.0,371.68,0.1067,41490.0,2917.43,0.0703,11236.3,8406.67,610.0,2175.48,266.66,1908.82,,,,,,,20415.43,20691.29,739.68,366.0,15796.86,18117.85,893.26,661.5699999999999,105.02,556.55,6404.8,6624.84,451.0,86.06,5,11,5,2018,48535.03,47685.302604166674
46856.4,42727.11,50450.0,0.0,0.0,50285.0,7295.57,0.1451,5723.0,293.63,0.0513,44563.0,7001.94,0.1571,8833.27,7585.77,0.0,581.62,177.24,404.38,47166.4,43435.11,0.0,7295.57,293.63,7001.94,20129.28,16300.99,0.0,3699.0,13040.16,13543.03,0.0,2071.35,116.39,1954.96,4853.69,5297.32,0.0,943.6,5,1,12,2019,41647.45,51483.424895833334
54351.22,54807.8,47367.0,0.0,0.0,48880.0,13331.92,0.2727,5039.0,2676.19,0.5311,43841.0,10655.73,0.2431,10585.4,9483.21,0.0,4258.04,298.52,3959.52,54781.84,55254.8,0.0,13331.92,2676.19,10655.73,20150.14,20690.09,0.0,1097.0,17324.01,18776.29,0.0,7811.65,2377.67,5433.98,6291.67,5858.21,0.0,165.23,16,24,12,2018,51655.12,47522.16468750001
45068.95,44173.17,45169.0,0.0,0.0,46279.0,4542.77,0.0982,3634.0,1007.97,0.2774,42645.0,3534.8,0.0829,9318.6,7709.62,0.0,1454.15,517.73,936.42,,,,,,,16836.26,16372.03,0.0,1403.0,13399.31,14767.54,0.0,1324.98,490.24,834.74,5514.78,5323.98,0.0,360.64,3,6,8,2018,41718.51,45422.41749999999
51696.75,50315.55,39068.0,0.0,0.0,34653.0,5713.42,0.1649,2294.0,1150.3,0.5014,32359.0,4563.12,0.141,9669.03,8958.9,0.0,489.29,17.56,471.73,,,,,,,19278.84,18848.43,0.0,1062.0,16177.25,15896.22,0.0,4135.73,1132.74,3002.99,6571.63,6612.0,0.0,26.4,20,28,6,2016,54926.72,57203.600625
43290.91,44099.0,38295.0,0.0,0.0,30836.0,5414.51,0.1756,2125.0,1927.28,0.907,28711.0,3487.23,0.1215,7897.55,7897.55,0.0,332.82,3.27,329.55,,,,,,,16503.18,16929.11,0.0,574.0,13468.27,13739.34,0.0,4466.34,1924.01,2542.33,5421.91,5533.0,0.0,41.35,23,3,9,2015,45446.3,56747.78052083333
57905.67,61511.72,,15979.56,,,7203.16,,,89.63,,,7113.53,,10884.7,12187.44,2935.0,3147.24,0.0,3147.24,58390.45,62007.72,15979.56,7203.16,89.63,7113.53,21123.63,23533.2,4876.66,1210.0,18297.18,17986.08,6081.87,2662.92,89.63,2573.29,7600.16,7805.0,2086.03,183.0,12,19,6,2020,59875.45,52726.56927083333
49477.2,51566.88,46965.0,0.0,0.0,48607.0,28089.2,0.5779,5027.0,3073.37,0.6114,43581.0,25015.83,0.574,9423.2,8736.43,0.0,10213.1,961.1,9252.0,49850.1,,0.0,28089.2,3073.37,25015.83,19186.31,19354.36,0.0,5867.0,14812.18,16375.83,0.0,11242.7,2112.27,9130.43,6055.51,7100.26,0.0,766.4,2,7,12,2018,49605.71,65736.4403125
